id,fecha,franja_hora,gravedad,sexo,edad,vehiculo_1,vehiculo_2,direccion_normalizada,tipo_calle,comuna,latitud,longitud
2016-0027,2016-02-28,9,LEVE - SIN LESIONES,M,34,AUTOMOVIL,AUTOMOVIL,"CURAPALIGUE AV. y DIAZ, AVELINO",AVENIDA,7,-34.63852623,-58.44497874
2016-0028,2016-03-02,10,FATAL,M,50,PEATON,TRANSPORTE PUBLICO,VIAMONTE y 9 DE JULIO AV.,AVENIDA,1,-34.60028648,-58.38199706
2016-0029,2016-03-04,17,FATAL,M,38,PEATON,TRANSPORTE PUBLICO,CABILDO AV. y DEHEZA,AVENIDA,12,-34.54153077,-58.47378664
2016-0031,2016-03-08,12,LEVE - SIN LESIONES,M,21,MOTO,TRANSPORTE PUBLICO,"PAZ, GRAL. AV. y ROCA, CNEL. AV.",GRAL PAZ,8,-34.69843756,-58.47064556
2016-0034,2016-03-12,12,FATAL,M,52,PEATON,TRANSPORTE PUBLICO,"ALCORTA, AMANCIO AV. y BONAVENA, OSCAR NATALIO",AVENIDA,4,-34.65076549,-58.40623949
2016-0035,2016-03-13,6,FATAL,M,34,MOTO,TRANSPORTE PUBLICO,CORRIENTES AV. y CALLAO AV.,AVENIDA,3,-34.60443527,-58.39228965
2016-0036,2016-03-14,0,FATAL,M,36,MOTO,TRANSPORTE PUBLICO,"HERRERA y VALLE, ARISTOBULO DEL",CALLE,4,-34.63668504,-58.37813396
2016-0037,2016-03-19,11,FATAL,M,20,MOTO,MOTO,LAFUENTE AV. y QUIRNO,AVENIDA,7,-34.64358293,-58.46275892
2016-0038,2016-03-21,8,FATAL,M,29,PEATON,TRANSPORTE PUBLICO,"PAZ, GRAL. AV. y ZUVIRIA",GRAL PAZ,8,-34.67892743,-58.49683458
2016-0039,2016-03-23,1,FATAL,M,20,MOTO,TRANSPORTE PUBLICO,"MITRE, BARTOLOME y PUEYRREDON AV.",AVENIDA,3,-34.60883960,-58.40603217
2016-0041,2016-03-29,11,FATAL,M,54,MOTO,TRANSPORTE PUBLICO,DIRECTORIO AV. y RIVERA INDARTE AV.,AVENIDA,7,-34.63350444,-58.46076550
2016-0041,2016-03-29,11,FATAL,M,47,MOTO,TRANSPORTE PUBLICO,DIRECTORIO AV. y RIVERA INDARTE AV.,AVENIDA,7,-34.63350444,-58.46076550
2016-0043,2016-03-30,18,FATAL,F,56,PEATON,TRANSPORTE PUBLICO,"DELLEPIANE, LUIS, TTE. GRAL. y MURGUIONDO",AVENIDA,8,-34.67494416,-58.47832463
2016-0044,2016-03-31,19,FATAL,M,24,MOTO,OTRO,"MORENO, JOSE MARIA AV. y BALBASTRO",AVENIDA,7,-34.63693953,-58.43213235
2016-0045,2016-04-11,10,LEVE - SIN LESIONES,M,34,MOTO,SD,"PAZ, GRAL. AV. y DEL LIBERTADOR AV.",GRAL PAZ,13,-34.53476874,-58.46743471
2016-0047,2016-04-15,5,FATAL,M,41,PEATON,TRANSPORTE PUBLICO,LIMA 1483,CALLE,1,-34.62571878,-58.38247061
2016-0048,2016-04-15,17,LEVE - SIN LESIONES,F,24,PEATON,TRANSPORTE PUBLICO,CORRIENTES AV. y DORREGO AV.,AVENIDA,15,-34.59170240,-58.44759966
2016-0049,2016-04-17,0,LEVE - SIN LESIONES,M,41,SD,SD,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,AUTOPISTA,4,-34.63657525428238,-58.37714647568196
2016-0050,2016-04-19,9,FATAL,M,78,PEATON,TRANSPORTE PUBLICO,"GORDILLO, TIMOTEO y FERNANDEZ DE LA CRUZ, F., GRAL. AV.",AVENIDA,8,-34.68550712,-58.47305463
2016-0051,2016-04-20,4,FATAL,M,36,MOTO,TRANSPORTE PUBLICO,"ALCORTA, AMANCIO AV. y BONAVENA, OSCAR NATALIO",AVENIDA,4,-34.65076549,-58.40623949
2016-0052,2016-04-20,20,LEVE - SIN LESIONES,M,30,MOTO,SD,SD,AUTOPISTA,13,.,.
2016-0053,2016-04-22,9,FATAL,M,38,PEATON,TRANSPORTE PUBLICO,TRIUNVIRATO AV. y OLAZABAL AV.,AVENIDA,12,-34.57558053,-58.48429180
2016-0054,2016-04-23,21,FATAL,M,30,MOTO,MOTO,"AUTOPISTA DELLEPIANE LUIS TTE. GRAL. y PAZ, GRAL. AV.",AUTOPISTA,8,-34.68795245,-58.48695354
2016-0055,2016-04-25,20,FATAL,M,79,PEATON,TRANSPORTE PUBLICO,"CASTILLA, RAMON, MARISCAL y FIGUEROA ALCORTA, PRES. AV.",AVENIDA,14,-34.57964781,-58.40021959
2016-0056,2016-04-26,4,FATAL,M,26,MOTO,OTRO,"CAMPOS, LUIS M. AV. 30",AVENIDA,14,-34.57660058,-58.42957885
2016-0058,2016-05-04,14,FATAL,F,57,PEATON,MOTO,LIMA 1471,CALLE,1,-34.62556293,-58.38247542
2016-0059,2016-05-08,16,FATAL,M,37,PEATON,TRANSPORTE PUBLICO,CIUDADELA y LIMA,CALLE,1,-34.62728101,-58.38222219
2016-0064,2016-05-14,18,LEVE - SIN LESIONES,M,20,PEATON,TRANSPORTE PUBLICO,"JUSTO, JUAN B. AV. y CARRASCO AV.",AVENIDA,10,-34.62953445,-58.49485242
2016-0065,2016-05-20,14,FATAL,M,20,PEATON,AUTOMOVIL,GAONA AV. y ESPINOSA,AVENIDA,6,-34.61068024,-58.45227946
2016-0067,2016-05-21,17,LEVE - SIN LESIONES,F,30,MOTO,TRANSPORTE PUBLICO,"DE LA TORRE, LISANDRO y SARAZA",AVENIDA,8,-34.67512760,-58.48455411
2016-0068,2016-05-22,22,LEVE - SIN LESIONES,M,58,MOTO,TRANSPORTE PUBLICO,"FIGUEROA ALCORTA, PRES. AV. y PUEYRREDON AV.",AVENIDA,2,-34.58418569,-58.39056593
2016-0069,2016-05-23,3,FATAL,M,30,AUTOMOVIL,TRANSPORTE PUBLICO,ENTRE RIOS AV. y FILIBERTO,AVENIDA,3,-34.62704273,-58.39118948
2016-0073,2016-06-11,15,LEVE - SIN LESIONES,M,23,MOTO,TRANSPORTE PUBLICO,"MAGARIÃ‘OS CERVANTES, A. 3900",CALLE,10,-34.62025108,-58.49021952
2016-0074,2016-06-12,6,LEVE - SIN LESIONES,M,60,AUTOMOVIL,AUTOMOVIL,"PAZ, GRAL. AV. y SCAPINO, RODOLFO",GRAL PAZ,8,-34.67732118,-58.49896559
2016-0075,2016-06-12,23,FATAL,M,42,PEATON,AUTOMOVIL,AUTOPISTA DELLEPIANE LUIS TTE. GRAL. y MIRALLA,AUTOPISTA,8,-34.66874679,-58.47461076
2016-0076,2016-06-13,16,FATAL,F,53,PEATON,TRANSPORTE PUBLICO,SAN MARTIN AV. y CAMARONES,AVENIDA,15,-34.60356211,-58.46210891
2016-0077,2016-06-13,21,LEVE - SIN LESIONES,F,26,PEATON,TRANSPORTE PUBLICO,"PERON, JUAN DOMINGO, TTE. GENERAL y ALEM, LEANDRO N. AV.",AVENIDA,1,-34.60536123,-58.37027770
2016-0078,2016-06-13,23,LEVE - SIN LESIONES,M,30,MOTO,MOTO,BELGRANO AV. y JUJUY AV.,AVENIDA,3,-34.61463830,-58.40491455
2016-0079,2016-06-16,17,LEVE - SIN LESIONES,F,51,AUTOMOVIL,AUTOMOVIL,"DEL LIBERTADOR AV. y UDAONDO, GUILLERMO AV.",AVENIDA,13,-34.54864492,-58.45504154
2016-0080,2016-06-18,6,LEVE - SIN LESIONES,M,60,AUTOMOVIL,SD,"PAZ, GRAL. AV. y RIVADAVIA AV.",GRAL PAZ,9,-34.63931752,-58.52927982
2016-0081,2016-06-22,7,LEVE - SIN LESIONES,M,40,MOTO,AUTOMOVIL,"LARRALDE, CRISOLOGO AV. y MACHAIN",AVENIDA,12,-34.55904606,-58.48721060
2016-0082,2016-06-27,18,FATAL,M,87,PEATON,AUTOMOVIL,LA PLATA AV. 2384,AVENIDA,4,-34.64228803,-58.42273092
2016-0083,2016-06-28,20,FATAL,F,76,PEATON,MOTO,"ALBERDI, JUAN BAUTISTA AV. y PUAN",AVENIDA,6,-34.62539009,-58.44788671
2016-0084,2016-06-29,22,FATAL,M,57,PEATON,TRANSPORTE PUBLICO,"PELLEGRINI, CARLOS y TUCUMAN",CALLE,1,-34.60135531,-58.38110563
2016-0085,2016-06-29,22,LEVE - SIN LESIONES,M,26,MOTO,OTRO,"RABANAL, FRANCISCO, INTENDENTE AV. y EREZCANO",AVENIDA,4,-34.65734100,-58.42378834
2016-0086,2016-06-30,16,FATAL,M,75,PEATON,TRANSPORTE PUBLICO,"OLIVERA AV. y FALCON, RAMON L.,CNEL.",AVENIDA,10,-34.63652467,-58.48727942
2016-0087,2016-07-02,0,FATAL,M,23,MOTO,OTRO,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI y CASEROS AV.,AUTOPISTA,1,-34.62907067,-58.37864583
2016-0088,2016-07-11,15,FATAL,F,70,PEATON,AUTOMOVIL,CERETTI y NUÃ‘EZ,CALLE,12,-34.56767549,-58.50151750
2016-0089,2016-07-14,6,FATAL,M,35,PEATON,AUTOMOVIL,"LUGONES, LEOPOLDO AV. y LA PAMPA",AUTOPISTA,13,-34.55185825,-58.43233425
2016-0090,2016-07-14,22,FATAL,M,60,PEATON,TRANSPORTE PUBLICO,"SALGUERO, JERONIMO y RIVADAVIA AV.",AVENIDA,5,-34.61112240,-58.41971993
2016-0092,2016-07-15,11,FATAL,M,24,MOTO,TRANSPORTE PUBLICO,"PAZ, GRAL. AV. y DEL LIBERTADOR AV.",GRAL PAZ,13,-34.53476874,-58.46743471
2016-0093,2016-07-17,3,FATAL,M,35,AUTOMOVIL,AUTOMOVIL,"ALBERDI, JUAN BAUTISTA AV. y MITRE, EMILIO",AVENIDA,6,-34.62301748,-58.44362126
2016-0095,2016-07-23,6,FATAL,M,29,MOTO,AUTOMOVIL,MERCEDES y MOSCONI GENERAL AV.,AVENIDA,11,-34.59546519,-58.51713095
2016-0096,2016-07-25,7,LEVE - SIN LESIONES,M,29,MOTO,TRANSPORTE PUBLICO,AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,AUTOPISTA,8,-34.66684950051973,-58.47433193007387
2016-0097,2016-07-26,18,FATAL,M,80,PEATON,AUTOMOVIL,SOLIS y MEXICO,CALLE,1,-34.61562810,-58.39038605
2016-0098,2016-07-27,16,LEVE - SIN LESIONES,F,43,MOTO,TRANSPORTE PUBLICO,SAN JUAN AV. y ALBERTI,AVENIDA,3,-34.62356174,-58.40042405
2016-0099,2016-07-29,16,LEVE - SIN LESIONES,M,45,TRANSPORTE PUBLICO,TRANSPORTE PUBLICO,"MOSCONI GENERAL AV. y PAZ, GRAL. AV.",GRAL PAZ,11,-34.59798754,-58.52340614
2016-0100,2016-08-03,23,FATAL,M,57,MOTO,OTRO,"PAZ, GRAL. AV. y DONADO",GRAL PAZ,12,-34.54795581,-58.49491054
2016-0101,2016-08-07,19,LEVE - SIN LESIONES,M,67,SD,SD,"PAZ, GRAL. AV. y CHAVEZ, JORGE",GRAL PAZ,9,-34.65014993,-58.52932872
2016-0102,2016-08-10,23,LEVE - SIN LESIONES,M,29,MOTO,TRANSPORTE PUBLICO,"PERON, EVA AV. y SUAREZ, JOSE LEON",AVENIDA,9,-34.67316502,-58.50011639
2016-0104,2016-08-14,21,FATAL,M,21,MOTO,TRANSPORTE PUBLICO,ZINNY y SANTIAGO DE COMPOSTELA AV.,AVENIDA,9,-34.65624369,-58.46635001
2016-0105,2016-08-17,0,FATAL,M,19,PEATON,TRANSPORTE PUBLICO,"LACROZE, FEDERICO AV. y FRAGA",AVENIDA,15,-34.58435809,-58.45343236
2016-0106,2016-08-19,21,LEVE - SIN LESIONES,M,38,PEATON,TRANSPORTE PUBLICO,"PELLEGRINI, CARLOS y DEL LIBERTADOR AV.",AVENIDA,1,-34.58927731,-58.38090932
2016-0107,2016-08-20,8,LEVE - SIN LESIONES,M,21,MOTO,AUTOMOVIL,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI y DON PEDRO DE MENDOZA AV.,AUTOPISTA,4,-34.65429986,-58.37157668
2016-0109,2016-08-24,5,FATAL,F,53,AUTOMOVIL,OTRO,AUTOPISTA PERITO MORENO y BARRAGAN,AUTOPISTA,9,-34.63659934,-58.52280139
2016-0110,2016-08-24,20,LEVE - SIN LESIONES,M,57,PEATON,SD,"ALBERDI, JUAN BAUTISTA AV. y CARHUE",AVENIDA,9,-34.65903530,-58.51232237
2016-0111,2016-08-25,9,FATAL,M,27,MOTO,TRANSPORTE PUBLICO,LUGONES y LA PAMPA,AUTOPISTA,15,-34.57663634,-58.47461905
2016-0112,2016-08-27,4,FATAL,M,24,MOTO,OTRO,AUTOPISTA 25 DE MAYO y AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,AUTOPISTA,1,-34.62282019,-58.38268809
2016-0113,2016-08-27,16,LEVE - SIN LESIONES,F,60,PEATON,TRANSPORTE PUBLICO,"ALBERDI, JUAN BAUTISTA AV. y GUARDIA NACIONAL",AVENIDA,9,-34.64564271,-58.49603546
2016-0114,2016-08-31,11,FATAL,F,55,BICICLETA,TRANSPORTE PUBLICO,"SALGUERO, JERONIMO 1410",CALLE,14,-34.59394733,-58.41848605
2016-0115,2016-09-02,11,LEVE - SIN LESIONES,M,36,SD,TRANSPORTE PUBLICO,ARIAS y TRONADOR,CALLE,12,-34.54917673,-58.48935041
2016-0116,2016-09-02,20,FATAL,M,30,MOTO,AUTOMOVIL,27 DE FEBRERO AV. y ESCALADA AV.,AVENIDA,8,-34.68475866,-58.44451316
2016-0117,2016-09-03,15,LEVE - SIN LESIONES,M,43,AUTOMOVIL,AUTOMOVIL,DEL LIBERTADOR AV. y TAGLE,AVENIDA,14,-34.58271474,-58.39936478
2016-0118,2016-09-04,3,FATAL,M,27,AUTOMOVIL,AUTOMOVIL,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI KM. 2.9,AUTOPISTA,1,-34.62694503,-58.37936704
2016-0119,2016-09-04,6,LEVE - SIN LESIONES,F,29,SD,SD,"LARRALDE, CRISOLOGO AV. y TRIUNVIRATO AV.",AVENIDA,12,-34.56353635,-58.49659234
2016-0122,2016-09-13,7,FATAL,M,49,BICICLETA,TRANSPORTE PUBLICO,"PERON, EVA AV. 4233",AVENIDA,9,-34.65194557,-58.47256391
2016-0123,2016-09-14,9,LEVE - SIN LESIONES,F,58,MOTO,AUTOMOVIL,"ASAMBLEA AV. y BONORINO, ESTEBAN, CNEL. AV.",AVENIDA,7,-34.64053676,-58.45130953
2016-0124,2016-09-16,15,LEVE - SIN LESIONES,M,67,PEATON,TRANSPORTE PUBLICO,RIVADAVIA AV. y RIVERA INDARTE AV.,AVENIDA,7,-34.62884871,-58.46271207
2016-0125,2016-09-17,12,LEVE - SIN LESIONES,M,30,MOTO,MOTO,"AUTOPISTA PERITO MORENO y ALBERDI, JUAN BAUTISTA AV.",AUTOPISTA,10,-34.64243791,-58.49020869
2016-0126,2016-09-18,22,LEVE - SIN LESIONES,M,37,AUTOMOVIL,TRANSPORTE PUBLICO,IRIGOYEN y TINOGASTA,CALLE,10,-34.62125906,-58.52572109
2016-0126,2016-09-18,22,LEVE - SIN LESIONES,M,60,AUTOMOVIL,TRANSPORTE PUBLICO,IRIGOYEN y TINOGASTA,CALLE,10,-34.62125906,-58.52572109
2016-0127,2016-09-24,10,LEVE - SIN LESIONES,M,50,PEATON,TRANSPORTE PUBLICO,"ACOSTA, MARIANO y ROCA, CNEL. AV.",AVENIDA,8,-34.66677111,-58.44094791
2016-0128,2016-10-02,11,FATAL,F,81,PEATON,TRANSPORTE PUBLICO,CASTRO y PAVON AV.,AVENIDA,5,-34.63053890,-58.41914024
2016-0130,2016-10-04,12,FATAL,M,29,MOTO,TRANSPORTE PUBLICO,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI y BRASIL,AUTOPISTA,1,-34.62764717,-58.37910942
2016-0131,2016-10-09,19,LEVE - SIN LESIONES,M,35,PEATON,AUTOMOVIL,MIRAVE 3500,CALLE,4,-34.64539318,-58.39871183
2016-0132,2016-10-10,2,FATAL,M,30,AUTOMOVIL,TRANSPORTE PUBLICO,SAN JUAN AV. y 24 DE NOVIEMBRE,AVENIDA,3,-34.62477021,-58.41036975
2016-0133,2016-10-14,0,FATAL,M,41,MOTO,AUTOMOVIL,LAS HERAS GENERAL AV. y SANCHEZ DE BUSTAMANTE,AVENIDA,14,-34.58342690,-58.40204698
2016-0134,2016-10-23,5,FATAL,M,25,MOTO,OTRO,PIEDRA BUENA AV. y 2 DE ABRIL DE 1982,AVENIDA,8,-34.67648597,-58.48935287
2016-0135,2016-10-24,5,FATAL,M,29,PEATON,SD,"FIGUEROA ALCORTA, PRES. AV. y PINEDO, INT.",AVENIDA,14,-34.56403694,-58.42260225
2016-0136,2016-10-25,0,LEVE - SIN LESIONES,M,31,MOTO,TRANSPORTE PUBLICO,SD,AUTOPISTA,4,.,.
2016-0137,2016-10-25,0,LEVE - SIN LESIONES,M,30,MOTO,MOTO,SAN MARTIN AV. y LADINES,AVENIDA,11,-34.59035925,-58.51537091
2016-0138,2016-10-27,20,LEVE - SIN LESIONES,F,33,BICICLETA,TRANSPORTE PUBLICO,CABILDO AV. y BLANCO ENCALADA,AVENIDA,13,-34.55922742,-58.45909670
2016-0139,2016-10-28,23,LEVE - SIN LESIONES,F,35,MOTO,MOTO,"FIGUEROA ALCORTA, PRES. AV. y DORREGO AV.",AVENIDA,14,-34.56539579,-58.42008769
2016-0140,2016-10-31,2,LEVE - SIN LESIONES,M,20,TRANSPORTE PUBLICO,TRANSPORTE PUBLICO,JURAMENTO AV. y VUELTA DE OBLIGADO,AVENIDA,13,-34.56147293,-58.45566399
2016-0142,2016-11-05,23,FATAL,M,46,MOTO,TRANSPORTE PUBLICO,"DEL LIBERTADOR AV. y RAMOS MEJIA, JOSE MARIA, DR. AV.",AVENIDA,1,-34.59276462,-58.37533517
2016-0143,2016-11-06,4,LEVE - SIN LESIONES,M,35,MOTO,SD,27 DE FEBRERO AV. y ESCALADA AV.,AVENIDA,8,-34.68475866,-58.44451316
2016-0144,2016-11-07,12,LEVE - SIN LESIONES,M,83,PEATON,TRANSPORTE PUBLICO,"BROWN, ALTE. AV. 984",AVENIDA,4,-34.63343907,-58.35975012
2016-0145,2016-11-07,20,FATAL,M,39,MOTO,AUTOMOVIL,DEL LIBERTADOR AV. y LA PAMPA,AVENIDA,13,-34.55953855,-58.44523595
2016-0146,2016-11-09,20,LEVE - SIN LESIONES,F,29,PEATON,TRANSPORTE PUBLICO,PICHINCHA AV. y BRASIL,AVENIDA,4,-34.63036565,-58.39626094
2016-0147,2016-11-16,21,FATAL,M,55,AUTOMOVIL,TRANSPORTE PUBLICO,"INDEPENDENCIA AV. y CEVALLOS, VIRREY",AVENIDA,1,-34.61799615,-58.38896772
2016-0148,2016-11-16,22,LEVE - SIN LESIONES,M,23,MOTO,MOTO,GARMENDIA AV. 4895,AVENIDA,15,-34.59484504,-58.46536113
2016-0150,2016-11-18,18,FATAL,M,41,TRANSPORTE PUBLICO,TRANSPORTE PUBLICO,"ALCORTA, AMANCIO AV. y TABORDA, DIOGENES",AVENIDA,4,-34.65273216,-58.40879146
2016-0151,2016-11-18,20,LEVE - SIN LESIONES,M,48,PEATON,SD,SD,CALLE,SD,.,.
2016-0152,2016-11-23,21,FATAL,M,42,MOTO,AUTOMOVIL,"MORENO, PERITO AV. y ZUVIRIA",AVENIDA,7,-34.64991946,-58.46451841
2016-0153,2016-11-25,15,FATAL,F,83,PEATON,MOTO,ARAOZ y CORDOBA AV.,AVENIDA,15,-34.59485488,-58.42917090
2016-0154,2016-11-26,14,LEVE - SIN LESIONES,M,38,MOTO,MOTO,"PAZ, GRAL. AV. 15200",GRAL PAZ,8,-34.68251141,-58.49007772
2016-0155,2016-11-26,16,LEVE - SIN LESIONES,F,29,PEATON,AUTOMOVIL,MADERO 900,CALLE,10,-34.62772274,-58.52756365
2016-0156,2016-11-26,19,FATAL,M,23,MOTO,TRANSPORTE PUBLICO,INDEPENDENCIA AV. y DEAN FUNES,AVENIDA,3,-34.61943202,-58.40638983
2016-0157,2016-12-03,6,LEVE - SIN LESIONES,M,23,MOTO,MOTO,"JUSTO, JUAN B. AV. 5645",AVENIDA,11,-34.61740997,-58.47576807
2016-0159,2016-12-04,7,LEVE - SIN LESIONES,M,23,AUTOMOVIL,SD,27 DE FEBRERO AV. y ESCALADA AV.,AVENIDA,8,-34.68475866,-58.44451316
2016-0160,2016-12-06,5,FATAL,M,29,TRANSPORTE PUBLICO,OTRO,AUTOPISTA PERITO MORENO (ALTURA VELEZ SARSFIELD),AUTOPISTA,9,-34.63635787,-58.51927194
2016-0161,2016-12-06,7,FATAL,M,50,PEATON,TRANSPORTE PUBLICO,SANTA FE AV. y GODOY CRUZ,AVENIDA,14,-34.57866344,-58.42525456
2016-0162,2016-12-07,5,FATAL,M,38,PEATON,AUTOMOVIL,"LACROZE, FEDERICO AV. y FOREST AV.",AVENIDA,15,-34.58518167,-58.45396573
2016-0163,2016-12-10,7,LEVE - SIN LESIONES,M,23,MOTO,AUTOMOVIL,"PAZ, GRAL. AV. y MOSCONI GENERAL AV.",GRAL PAZ,11,-34.59798754,-58.52340614
2016-0164,2016-12-11,6,LEVE - SIN LESIONES,M,29,AUTOMOVIL,AUTOMOVIL,"LA PLATA AV. y POMAR, GREGORIO TTE. CNEL.",AVENIDA,4,-34.64119105,-58.42323628
2016-0165,2016-12-12,8,LEVE - SIN LESIONES,M,37,BICICLETA,TRANSPORTE PUBLICO,"GARCIA, MARTIN AV. 300",AVENIDA,4,-34.62841919,-58.36926144
2016-0168,2016-12-13,10,FATAL,M,43,MOTO,AUTOMOVIL,"LA PLATA AV. y POMAR, GREGORIO TTE. CNEL.",AVENIDA,4,-34.64119105,-58.42323628
2016-0169,2016-12-15,15,FATAL,M,24,MOTO,TRANSPORTE PUBLICO,"NUÃ‘EZ y BALBIN, RICARDO, DR. AV.",AVENIDA,12,-34.55676497,-58.47935434
2016-0170,2016-12-19,17,FATAL,M,21,MOTO,AUTOMOVIL,"PAZ, GRAL. AV. 4500",GRAL PAZ,12,-34.56379980,-58.50598256
2016-0171,2016-12-25,19,LEVE - SIN LESIONES,M,47,MOTO,MOTO,"HUERGO, ING. AV. y AUTOPISTA 25 DE MAYO",AUTOPISTA,1,-34.62150748,-58.36607137
2016-0172,2016-12-26,8,FATAL,M,38,MOTO,TRANSPORTE PUBLICO,"GARAY, JUAN DE AV. y CASTRO",AVENIDA,5,-34.63174259,-58.41918902
2016-0173,2016-12-26,19,LEVE - SIN LESIONES,M,35,MOTO,TRANSPORTE PUBLICO,DIRECTORIO AV. y SAN PEDRITO AV.,AVENIDA,7,-34.63551751,-58.46749188
2016-0174,2016-12-27,0,LEVE - SIN LESIONES,M,41,SD,SD,AUTOPISTA 25 DE MAYO,AUTOPISTA,SD,.,.
2016-0175,2016-12-27,8,LEVE - SIN LESIONES,F,33,PEATON,BICICLETA,"FALCON, RAMON L.,CNEL. y MEMBRILLAR",CALLE,7,-34.62960517,-58.46064174
2016-0176,2016-12-28,1,LEVE - SIN LESIONES,M,28,MOTO,TRANSPORTE PUBLICO,BELGRANO AV. y PASEO COLON AV.,AVENIDA,1,-34.61232875,-58.36956186
2016-0177,2016-12-29,4,LEVE - SIN LESIONES,F,27,PEATON,AUTOMOVIL,ARENALES 3319,CALLE,14,-34.58788235,-58.40966671
2016-0178,2016-12-30,16,LEVE - SIN LESIONES,F,7,PEATON,OTRO,REPUBLICA BOLIVARIANA DE VENEZUELA y SAAVEDRA,CALLE,3,-34.61544091,-58.40288226
2017-0001,2017-01-02,1,FATAL,M,18,MOTO,TRANSPORTE PUBLICO,"JUSTO, JUAN B. AV. y ACHUPALLAS",AVENIDA,11,-34.61028571,-58.46594230
2017-0003,2017-01-05,3,FATAL,M,33,TRANSPORTE PUBLICO,TRANSPORTE PUBLICO,OLAVARRIA y VELEZ SARSFIELD AV.,AVENIDA,4,-34.64410277,-58.38957669
2017-0007,2017-01-11,17,FATAL,M,48,PEATON,OTRO,LIMA y MEXICO,CALLE,1,-34.61529543,-58.38161660
